#ID                             RA                DEC
UVUDF_1196               53.1620257 -27.81345520
UVUDF_1198               53.1484490 -27.81344111
UVUDF_1201               53.1577866 -27.81325576
UVUDF_1202               53.1811026 -27.81327245
UVUDF_1204               53.1608326 -27.81330974
UVUDF_1205               53.1524409 -27.81331064
UVUDF_1207               53.1769698 -27.81329058
UVUDF_1208               53.1739906 -27.81328005
UVUDF_1212               53.1743728 -27.81317089
UVUDF_1213               53.1560986 -27.81323417
UVUDF_1217               53.1532707 -27.81315279
UVUDF_1219               53.1699435 -27.81314390
UVUDF_1222               53.1677605 -27.81310615
UVUDF_1224               53.1789022 -27.81303860
UVUDF_1225               53.1742155 -27.81307108
UVUDF_1226               53.1575694 -27.81297069
UVUDF_1227               53.1549739 -27.81304325
UVUDF_1228               53.1584883 -27.81297518
UVUDF_1229               53.1489447 -27.81299610
UVUDF_1230               53.1829697 -27.81298772
UVUDF_1231               53.1561543 -27.81297426
UVUDF_1232               53.1759890 -27.81297190
UVUDF_1234               53.1556158 -27.81283429
UVUDF_1235               53.1580010 -27.81290465
UVUDF_1236               53.1569797 -27.81294759
UVUDF_1240               53.1785359 -27.81274603
UVUDF_1242               53.1827649 -27.81290374
UVUDF_1243               53.1822962 -27.81287920
UVUDF_1247               53.1514435 -27.81278889
UVUDF_1249               53.1501504 -27.81270299
UVUDF_1250               53.1568946 -27.81278445
UVUDF_1251               53.1582093 -27.81280865
UVUDF_1254               53.1484851 -27.81273966
UVUDF_1255               53.1834685 -27.81277196
UVUDF_1256               53.1721619 -27.81277599
UVUDF_1260               53.1611797 -27.81243003
UVUDF_1263               53.1777677 -27.81269519
UVUDF_1264               53.1539332 -27.81270971
UVUDF_1268               53.1739887 -27.81266808
UVUDF_1269               53.1797287 -27.81256998
UVUDF_1272               53.1522290 -27.81255711
UVUDF_1273               53.1787703 -27.81259133
UVUDF_1276               53.1780716 -27.81244364
UVUDF_1278               53.1494304 -27.81225124
UVUDF_1279               53.1752401 -27.81253042
UVUDF_1281               53.1725390 -27.81249046
UVUDF_1283               53.1668047 -27.81245165
UVUDF_1284               53.1719405 -27.81251035
UVUDF_1285               53.1656065 -27.81248648
UVUDF_1287               53.1680469 -27.81249283
UVUDF_1288               53.1770224 -27.81237823
UVUDF_1289               53.1699450 -27.81245894
UVUDF_1293               53.1664373 -27.81237582
UVUDF_1294               53.1495500 -27.81219274
UVUDF_1295               53.1815487 -27.81236482
UVUDF_1297               53.1541642 -27.81235663
UVUDF_1299               53.1782180 -27.81229770
UVUDF_1302               53.1506250 -27.81229748
UVUDF_1303               53.1692783 -27.81230710
UVUDF_1304               53.1520929 -27.81231568
UVUDF_1305               53.1829273 -27.81221505
UVUDF_1306               53.1772159 -27.81226013
UVUDF_1308               53.1680144 -27.81221941
UVUDF_1310               53.1813585 -27.81220472
UVUDF_1312               53.1668330 -27.81224641
UVUDF_1316               53.1762031 -27.81224444
UVUDF_1317               53.1763369 -27.81224105
UVUDF_1319               53.1555811 -27.81220320
UVUDF_1321               53.1518556 -27.81211521
UVUDF_1322               53.1557910 -27.81206116
UVUDF_1324               53.1547906 -27.81209410
UVUDF_1325               53.1754819 -27.81208558
UVUDF_1327               53.1773396 -27.81200722
UVUDF_1328               53.1507633 -27.81206450
UVUDF_1329               53.1759359 -27.81205712
UVUDF_1330               53.1804564 -27.81205420
UVUDF_1332               53.1511014 -27.81201166
UVUDF_1333               53.1497900 -27.81192944
UVUDF_1334               53.1749019 -27.81202516
UVUDF_1337               53.1573678 -27.81196217
UVUDF_1338               53.1692583 -27.81195924
UVUDF_1340               53.1733476 -27.81193302
UVUDF_1341               53.1766177 -27.81187553
UVUDF_1342               53.1717174 -27.81192524
UVUDF_1345               53.1542099 -27.81191467
UVUDF_1347               53.1586550 -27.81184536
UVUDF_1349               53.1731445 -27.81180789
UVUDF_1353               53.1833898 -27.81178652
UVUDF_1355               53.1480688 -27.81173811
UVUDF_1356               53.1760781 -27.81170447
UVUDF_1357               53.1739442 -27.81174293
UVUDF_1358               53.1593102 -27.81167967
UVUDF_1359               53.1606560 -27.81171425
UVUDF_1360               53.1770918 -27.81172272
UVUDF_1361               53.1716670 -27.81171290
UVUDF_1362               53.1517800 -27.81162572
UVUDF_1363               53.1843527 -27.81158612
UVUDF_1366               53.1675666 -27.81156917
UVUDF_1367               53.1541492 -27.81165611
UVUDF_1368               53.1582308 -27.81163940
UVUDF_1369               53.1725240 -27.81163182
UVUDF_1370               53.1602121 -27.81140837
UVUDF_1371               53.1497289 -27.81152349
UVUDF_1373               53.1707947 -27.81150095
UVUDF_1375               53.1508434 -27.81156931
UVUDF_1376               53.1791915 -27.81155179
UVUDF_1380               53.1740036 -27.81153323
UVUDF_1381               53.1819923 -27.81146463
UVUDF_1383               53.1484199 -27.81146252
UVUDF_1385               53.1757058 -27.81141768
UVUDF_1386               53.1648802 -27.81133817
UVUDF_1388               53.1843149 -27.81140823
UVUDF_1389               53.1507522 -27.81126092
UVUDF_1393               53.1842635 -27.81135369
UVUDF_1394               53.1717106 -27.81136425
UVUDF_1395               53.1537509 -27.81137057
UVUDF_1398               53.1661925 -27.81123851
UVUDF_1399               53.1509161 -27.81131388
UVUDF_1401               53.1615352 -27.81129471
UVUDF_1408               53.1528547 -27.81120469
UVUDF_1409               53.1613639 -27.81119378
UVUDF_1410               53.1700837 -27.81112255
UVUDF_1411               53.1519153 -27.81116830
UVUDF_1416               53.1644754 -27.81113212
UVUDF_1421               53.1834419 -27.81112575
UVUDF_1423               53.1748021 -27.81109920
UVUDF_1426               53.1681004 -27.81108613
UVUDF_1427               53.1758126 -27.81097155
UVUDF_1430               53.1848115 -27.81105611
UVUDF_1431               53.1513959 -27.81092977
UVUDF_1432               53.1851916 -27.81096726
UVUDF_1435               53.1794795 -27.81094330
UVUDF_1436               53.1809658 -27.81096685
UVUDF_1440               53.1651677 -27.81088020
UVUDF_1441               53.1717693 -27.81096166
UVUDF_1443               53.1601567 -27.81087614
UVUDF_1444               53.1746504 -27.81086653
UVUDF_1445               53.1638063 -27.81093578
UVUDF_1446               53.1493118 -27.81095998
UVUDF_1447               53.1843210 -27.81087756
UVUDF_1448               53.1677535 -27.81093589
UVUDF_1449               53.1717830 -27.81084491
UVUDF_1455               53.1695219 -27.81079510
UVUDF_1456               53.1631356 -27.81083838
UVUDF_1457               53.1742126 -27.81076774
UVUDF_1459               53.1644547 -27.81030125
UVUDF_1462               53.1693286 -27.81071569
UVUDF_1465               53.1743584 -27.81071157
UVUDF_1467               53.1494470 -27.81073667
UVUDF_1469               53.1740663 -27.81071509
UVUDF_1473               53.1505321 -27.81043635
UVUDF_1478               53.1697073 -27.81054400
UVUDF_1479               53.1545453 -27.81059290
UVUDF_1480               53.1649369 -27.81061193
UVUDF_1485               53.1620362 -27.81046137
UVUDF_1486               53.1778709 -27.81056541
UVUDF_1488               53.1473232 -27.81046903
UVUDF_1489               53.1613938 -27.81050920
UVUDF_1490               53.1538607 -27.81048684
UVUDF_1491               53.1642709 -27.81043585
UVUDF_1494               53.1611755 -27.81050808
UVUDF_1495               53.1512254 -27.81048210
UVUDF_1497               53.1820550 -27.81042238
UVUDF_1499               53.1727693 -27.81046272
UVUDF_1502               53.1511221 -27.81044650
UVUDF_1503               53.1622204 -27.81043911
UVUDF_1504               53.1706431 -27.81042066
UVUDF_1505               53.1517564 -27.81036360
UVUDF_1507               53.1532232 -27.81035275
UVUDF_1508               53.1617755 -27.81035262
UVUDF_1509               53.1751223 -27.81038114
UVUDF_1510               53.1723443 -27.80982132
UVUDF_1512               53.1698295 -27.81016876
UVUDF_1513               53.1700473 -27.81020792
UVUDF_1514               53.1699206 -27.81031925
