# NGC 3603, centered at RA=168.78120, DEC=-61.261175
# ID           RA             DEC
     573   168.7654858    -61.274396
     574   168.7597402    -61.268017
     575   168.7498392    -61.244514
     576   168.8327136    -61.267079
     577   168.8035019    -61.256745
     578   168.7955680    -61.241539
     579   168.7748047    -61.278719
     580   168.8114357    -61.269598
     581   168.8053546    -61.275552
     582   168.8053685    -61.254509
     583   168.7850091    -61.231507
     584   168.8228196    -61.259684
     585   168.7764861    -61.253163
     586   168.8101122    -61.269545
     587   168.7626959    -61.242206
     588   168.7854753    -61.252935
     589   168.7907432    -61.269036
     590   168.7511732    -61.277058
     591   168.7885358    -61.262849
     592   168.8230681    -61.260345
     593   168.7761655    -61.270477
     594   168.7762840    -61.260485
     595   168.8238118    -61.252024
     596   168.7631334    -61.277809
     597   168.7761292    -61.251032
     598   168.8198888    -61.261507
     599   168.7583892    -61.273187
     600   168.7630410    -61.277198
     601   168.7767132    -61.276231
     602   168.7791922    -61.280597
     603   168.7577308    -61.272568
     604   168.8002142    -61.271323
     605   168.8109433    -61.250247
     606   168.8066870    -61.272437
     607   168.7776823    -61.235710
     608   168.8072517    -61.275070
     609   168.7527853    -61.269061
     610   168.8218009    -61.264539
     611   168.7604362    -61.252616
     612   168.7612404    -61.253226
     613   168.7876485    -61.254575
     614   168.7167721    -61.260942
     615   168.7766716    -61.255362
     616   168.7927364    -61.276976
     617   168.7758280    -61.266520
     618   168.7331444    -61.263928
     619   168.7990156    -61.264027
     620   168.7850872    -61.234442
     621   168.7967463    -61.265900
     622   168.7490265    -61.263931
     623   168.7787613    -61.251799
     624   168.7941747    -61.239433
     625   168.8263121    -61.267431
     626   168.7902434    -61.245525
     627   168.7886661    -61.268582
     628   168.7761216    -61.264651
     629   168.7734060    -61.285197
     630   168.8001061    -61.271263
     631   168.7797232    -61.244713
     632   168.7778905    -61.261394
     633   168.7251670    -61.262473
     634   168.7794961    -61.258105
     635   168.8216962    -61.270162
     636   168.8140139    -61.269635
     637   168.7748542    -61.259723
     638   168.7229897    -61.254708
     639   168.7538460    -61.280528
     640   168.7841860    -61.274705
     641   168.7847144    -61.260491
     642   168.7730913    -61.272175
     643   168.7903920    -61.243553
     644   168.7600922    -61.254453
     645   168.7807435    -61.287823
     646   168.7864620    -61.258932
     647   168.7591873    -61.270418
     648   168.7755787    -61.260362
     649   168.8436403    -61.264331
     650   168.7636680    -61.264435
     651   168.8232686    -61.264072
     652   168.7624244    -61.256633
     653   168.7545822    -61.277002
     654   168.7878893    -61.271952
     655   168.7541441    -61.251438
     656   168.7763726    -61.275767
     657   168.8303554    -61.268386
     658   168.7587753    -61.251820
     659   168.7469487    -61.266972
     660   168.8108549    -61.265178
     661   168.7643890    -61.252956
     662   168.7922244    -61.267288
     663   168.7518966    -61.276118
     664   168.7887779    -61.242441
     665   168.7924072    -61.254531
     666   168.7536347    -61.266037
     667   168.7778798    -61.261350
     668   168.7658321    -61.269013
     669   168.8161765    -61.258224
     670   168.7556221    -61.257935
     671   168.7665548    -61.247527
     672   168.7692070    -61.256667
     673   168.7835162    -61.277883
     674   168.7413328    -61.269918
     675   168.7606158    -61.282071
     676   168.7807340    -61.263559
     677   168.7853442    -61.260300
     678   168.7818178    -61.263975
     679   168.7813238    -61.259745
     680   168.7351543    -61.248690
     681   168.7851743    -61.249328
     682   168.8253093    -61.269208
     683   168.7630052    -61.254701
     684   168.7768689    -61.269318
     685   168.7343600    -61.267679
     686   168.8234677    -61.271348
     687   168.7943981    -61.269016
     688   168.7773349    -61.259063
     689   168.7765818    -61.256136
     690   168.7254195    -61.262951
     691   168.7888549    -61.257252
     692   168.7902972    -61.274497
     693   168.7783597    -61.263277
     694   168.7391020    -61.247842
     695   168.8175554    -61.268134
     696   168.8197938    -61.267914
     697   168.8336438    -61.259124
     698   168.7829045    -61.260895
     699   168.8134505    -61.270570
     700   168.7748218    -61.266405
     701   168.8339104    -61.267164
     702   168.7893366    -61.260160
     703   168.7987818    -61.272155
     704   168.7325846    -61.268494
     705   168.7759717    -61.263901
     706   168.8281249    -61.264378
     707   168.7825173    -61.285423
     708   168.7963790    -61.258337
     709   168.7903790    -61.264240
     710   168.7929286    -61.236710
     711   168.7719851    -61.260319
     712   168.7744743    -61.248013
     713   168.7630656    -61.277683
     714   168.8317184    -61.265625
     715   168.7801017    -61.256846
     716   168.8026667    -61.264961
     717   168.7314666    -61.251979
     718   168.7777725    -61.261111
     719   168.7783348    -61.258553
     720   168.8164034    -61.265746
     721   168.7270391    -61.264043
     722   168.7677208    -61.256914
     723   168.7815129    -61.253171
     724   168.7948365    -61.264521
     725   168.7643928    -61.245950
     726   168.8092812    -61.249991
     727   168.7740828    -61.262494
     728   168.8096935    -61.263571
     729   168.8082493    -61.273239
     730   168.8096502    -61.259683
     731   168.7531722    -61.249961
     732   168.8106134    -61.246483
     733   168.7987345    -61.254272
     734   168.7773907    -61.251722
     735   168.8146440    -61.268282
     736   168.7868013    -61.255412
