# This target list is based on HST GLASS observations of M1149
# My program makes use of up to 4 MSA configurations. Thus,
# I expect to be able to observe up to 200 targets. A list of 817 
# targets is needed to make sure enough targets are available and
# optimally placed for any orientation. 
#
# The targets were selected on the basis of the following criteria:
# continuum observations: zphot > 2, 22 < m160 < 25.5
# emission lines : zphot > 3, m160> 25
#
# I plan to include at APT submission a filler list if necessary
# to make sure that no slitlets are left behind
#
# the columns are a target id, RA in HMS, Dec in DMS, photo-z, mag in F160W and mag error
#
#         id         RAh         RAm         RAs        DECd        DECm        DECs       zphot         mag        emag
#
         667          11          49       40.73          22          24       37.83       4.884       27.48     0.08998
         669          11          49       34.86          22          24       37.32       4.443       26.51     0.02878
         670          11          49       34.88          22          24       36.22       4.571       22.68    0.000791
         671          11          49       39.55          22          24       37.35       4.516       27.01     0.04851
         673          11          49       33.03          22          24       37.23        3.08       27.95     0.09526
         674          11          49       33.51          22          24       37.13       4.865       26.97     0.04355
         675          11          49       30.72          22          24       36.94       3.369       27.51       0.376
         676          11          49       31.48          22          24       37.13       4.964       27.77     0.08368
         678          11          49       36.39          22          24       36.94       4.923       27.94      0.1553
         685          11          49       33.59          22          24       36.58       3.576       27.62      0.0982
         690          11          49        37.7          22          24       35.74       4.014       26.57     0.02921
         692          11          49       40.18          22          24       33.02       3.087       26.17     0.03134
         700          11          49       38.54          22          24       26.08       3.241       23.95      0.0149
         701          11          49       39.03          22          24       27.65       2.255       23.07    0.004175
         703          11          49       39.06          22          24       23.87       3.298       24.44     0.01812
         714          11          49       34.14          22          24        34.9       5.547        28.3      0.1337
         717          11          49       31.64          22          24       34.77       4.433       26.98     0.04549
         720          11          49       39.95          22          24       34.79       3.243       26.51     0.03284
         722          11          49       37.15          22          24       34.33       4.207          25    0.009747
         723          11          49        38.1          22          24       34.37       3.532       25.03    0.009416
         724          11          49       36.21          22          24       34.66       4.548       27.59     0.06866
         730          11          49       33.41          22          24       27.28        2.31       23.78    0.003884
         732          11          49       33.12          22          24       32.93       4.825       26.82     0.05031
