#ID                             RA                DEC
HST3D_14645              189.1907580  62.21450900
HST3D_14734              189.2650490  62.21486900
HST3D_14744              189.1281910  62.21487800
HST3D_14755              189.1342300  62.21494200
HST3D_14818              189.1919340  62.21523800
HST3D_14851              189.1116460  62.21537700
HST3D_14869              189.2162260  62.21544900
HST3D_14874              189.1238570  62.21549900
HST3D_14879              189.2581470  62.21556000
HST3D_14891              189.1463740  62.21551300
HST3D_14968              189.2699350  62.21603600
HST3D_15016              189.1275270  62.21619300
HST3D_15061              189.2198980  62.21641300
HST3D_15079              189.2212170  62.21653900
HST3D_15148              189.2636490  62.21682000
HST3D_15358              189.2630710  62.21801900
HST3D_15372              189.2401500  62.21809200
HST3D_15416              189.2489720  62.21837200
HST3D_15472              189.2709930  62.21871000
HST3D_15589              189.1515230  62.21927900
HST3D_15635              189.1066300  62.21958000
HST3D_15648              189.2175560  62.21965300
HST3D_15767              189.1006960  62.22022600
HST3D_15773              189.1479890  62.22027200
HST3D_15789              189.2725720  62.22035500
HST3D_15840              189.1835090  62.22063000
HST3D_15918              189.1434600  62.22100800
HST3D_15952              189.2711100  62.22105700
HST3D_15962              189.2704040  62.22119800
HST3D_16012              189.1172220  62.22143500
HST3D_16123              189.1080960  62.22205100
HST3D_16130              189.1169670  62.22208000
HST3D_16134              189.2259590  62.22212400
HST3D_16172              189.2013100  62.22233300
HST3D_16206              189.1107060  62.22248500
HST3D_16268              189.1063430  62.22280700
HST3D_16349              189.1944510  62.22327600
HST3D_16422              189.1779860  62.22371300
HST3D_16451              189.1737630  62.22382800
HST3D_16477              189.1635790  62.22401700
HST3D_16563              189.1274290  62.22443600
HST3D_16571              189.1148250  62.22443100
HST3D_16701              189.2558810  62.22514600
HST3D_16757              189.1354140  62.22536700
HST3D_16761              189.2638060  62.22541000
HST3D_16799              189.2214060  62.22548300
HST3D_16800              189.1103380  62.22544300
HST3D_16832              189.2793150  62.22577000
HST3D_16856              189.2856570  62.22589100
HST3D_16967              189.2809980  62.22627000
HST3D_17020              189.2724830  62.22661100
HST3D_17064              189.1326300  62.22673600
HST3D_17109              189.2804210  62.22692700
HST3D_17127              189.0932160  62.22681500
HST3D_17132              189.1975720  62.22698700
HST3D_17198              189.1089820  62.22726000
HST3D_17220              189.2010310  62.22743800
HST3D_17240              189.0895730  62.22747500
HST3D_17246              189.1567050  62.22754600
HST3D_17251              189.1203800  62.22755800
HST3D_17284              189.2353470  62.22774900
HST3D_17313              189.1134320  62.22765700
HST3D_17345              189.2374160  62.22812800
HST3D_17371              189.2517370  62.22827200
HST3D_17451              189.0940420  62.22866400
HST3D_17564              189.1259060  62.22916100
HST3D_17586              189.1216940  62.22915700
HST3D_17590              189.1024680  62.22937200
HST3D_17618              189.2002260  62.22936500
HST3D_17622              189.2564230  62.22958000
HST3D_17776              189.1213110  62.23028900
HST3D_17791              189.2109250  62.23039200
HST3D_17846              189.2416060  62.23064300
HST3D_17874              189.2323670  62.23084300
HST3D_17884              189.1476860  62.23084300
HST3D_17919              189.1193860  62.23102200
HST3D_17958              189.2776590  62.23029000
HST3D_17965              189.1862420  62.23124900
HST3D_17966              189.2285250  62.23127000
HST3D_18032              189.2275450  62.23146300
HST3D_18052              189.1679780  62.23168100
HST3D_18091              189.1847190  62.23159600
HST3D_18094              189.2688440  62.23186300
HST3D_18103              189.1494200  62.23187000
HST3D_18116              189.2613280  62.23197200
HST3D_18119              189.0888090  62.23190700
HST3D_18158              189.2081870  62.23213700
HST3D_18172              189.2271380  62.23220700
HST3D_18185              189.2209220  62.23225700
HST3D_18312              189.0852810  62.23278800
HST3D_18314              189.1461050  62.23284700
HST3D_18394              189.0791350  62.23308300
HST3D_18399              189.0849430  62.23292800
HST3D_18406              189.1122620  62.23319900
HST3D_18413              189.2834090  62.23325500
HST3D_18423              189.0845650  62.23314500
HST3D_18437              189.0968510  62.23333400
HST3D_18499              189.2428500  62.23374700
HST3D_18579              189.2378660  62.23409600
HST3D_18589              189.1153330  62.23409900
HST3D_18591              189.1896080  62.23413300
HST3D_18676              189.1431310  62.23451200
HST3D_18745              189.0827170  62.23454600
HST3D_18945              189.0864300  62.23550200
HST3D_19072              189.1190800  62.23624800
HST3D_19107              189.1368020  62.23632700
HST3D_19115              189.1804350  62.23651200
HST3D_19135              189.1902870  62.23660300
HST3D_19184              189.0783220  62.23676600
HST3D_19223              189.2330820  62.23678700
HST3D_19254              189.1261370  62.23717600
HST3D_19256              189.0839070  62.23713000
HST3D_19369              189.1392050  62.23773800
HST3D_19385              189.1881180  62.23784700
HST3D_19390              189.1184060  62.23783700
HST3D_19461              189.2699970  62.23821600
HST3D_19472              189.2194040  62.23824700
HST3D_19495              189.0992760  62.23824800
HST3D_19498              189.2721880  62.23836000
HST3D_19552              189.1196190  62.23855000
HST3D_19586              189.1200610  62.23866300
HST3D_19633              189.1809000  62.23888100
HST3D_19676              189.1876050  62.23912300
HST3D_19732              189.0776870  62.23928200
HST3D_19751              189.1675150  62.23949000
HST3D_19776              189.1750540  62.23961300
HST3D_19795              189.0747750  62.23942600
HST3D_19797              189.2702640  62.23973500
HST3D_19803              189.0952810  62.23970200
HST3D_19841              189.1194380  62.23994200
HST3D_19857              189.0947740  62.23998600
HST3D_19877              189.1060360  62.24013700
HST3D_19885              189.1008630  62.24017400
HST3D_19905              189.2566040  62.24032400
HST3D_19920              189.1694110  62.24039100
HST3D_20031              189.2859680  62.24063800
HST3D_20060              189.2114040  62.24106900
HST3D_20062              189.2485910  62.24108200
HST3D_20066              189.1492850  62.24112600
HST3D_20090              189.0972750  62.24096600
HST3D_20157              189.2646960  62.24158500
HST3D_20211              189.2654540  62.24176400
HST3D_20238              189.1917980  62.24205000
HST3D_20255              189.0910580  62.24192700
HST3D_20281              189.1241660  62.24221300
HST3D_20284              189.1153650  62.24221600
HST3D_20302              189.1538070  62.24232800
HST3D_20338              189.2031080  62.24249000
HST3D_20340              189.1157390  62.24246000
HST3D_20393              189.1339350  62.24242900
HST3D_20419              189.2691290  62.24288300
HST3D_20490              189.0919850  62.24314700
HST3D_20618              189.2111000  62.24378900
HST3D_20726              189.1176240  62.24432100
HST3D_20777              189.2844950  62.24454800
HST3D_20788              189.1337080  62.24460000
HST3D_20866              189.1336930  62.24499600
