#ID                             RA                DEC
HST3D_15250              53.1118000 -27.84059500
HST3D_15251              53.0488890 -27.84070700
HST3D_15255              53.0468300 -27.84064400
HST3D_15261              53.1125220 -27.84050600
HST3D_15288              53.1213440 -27.84042300
HST3D_15294              53.0964620 -27.84052200
HST3D_15326              53.1216760 -27.84029800
HST3D_15352              53.0999100 -27.84034100
HST3D_15398              53.1042740 -27.84013100
HST3D_15445              53.0985080 -27.83980100
HST3D_15464              53.1166540 -27.83972900
HST3D_15522              53.0934360 -27.83945500
HST3D_15549              53.0876220 -27.83983200
HST3D_15592              53.1090220 -27.83914600
HST3D_15597              53.1053320 -27.83913500
HST3D_15654              53.0873630 -27.83953100
HST3D_15723              53.0947640 -27.83866300
HST3D_15815              53.0999380 -27.83842800
HST3D_15994              53.1162390 -27.83741400
HST3D_16023              53.0604480 -27.83737000
HST3D_16122              53.0478360 -27.83689300
HST3D_16124              53.1060040 -27.83728200
HST3D_16133              53.1191100 -27.83685900
HST3D_16201              53.1169000 -27.83657000
HST3D_16262              53.1245080 -27.83671700
HST3D_16340              53.0685690 -27.83598500
HST3D_16367              53.0568430 -27.83584000
HST3D_16452              53.1177390 -27.83542800
HST3D_16466              53.0651230 -27.83538600
HST3D_16499              53.0677700 -27.83533400
HST3D_16527              53.1191870 -27.83510200
HST3D_16528              53.1016680 -27.83608400
HST3D_16546              53.0649820 -27.83498200
HST3D_16556              53.0865940 -27.83495000
HST3D_16582              53.0686130 -27.83491200
HST3D_16719              53.0909460 -27.83425800
HST3D_16746              53.0820050 -27.83408000
HST3D_16861              53.0799550 -27.83362500
HST3D_16867              53.0742640 -27.83374600
HST3D_16997              53.0886890 -27.83325800
HST3D_17113              53.0949950 -27.83266100
HST3D_17153              53.0551810 -27.83241400
HST3D_17194              53.1047300 -27.83220900
HST3D_17201              53.0901530 -27.83218100
HST3D_17304              53.0910300 -27.83165100
HST3D_17354              53.0942920 -27.83141200
HST3D_17428              53.1139010 -27.83116100
HST3D_17444              53.0834310 -27.83097400
HST3D_17483              53.0706830 -27.83076100
HST3D_17548              53.0727700 -27.83060600
HST3D_17593              53.0811460 -27.83022500
HST3D_17595              53.0736780 -27.83018500
HST3D_17657              53.0614390 -27.82986500
HST3D_17724              53.0868650 -27.82958200
HST3D_17760              53.0959350 -27.82940300
HST3D_17779              53.0973150 -27.82942700
HST3D_17801              53.0764810 -27.82914900
HST3D_17811              53.0477700 -27.82911200
HST3D_17820              53.1065730 -27.82912100
HST3D_17825              53.0459590 -27.82918600
HST3D_17841              53.1012400 -27.82902500
HST3D_18009              53.0827390 -27.82820300
HST3D_18038              53.0743300 -27.82807400
HST3D_18071              53.0723630 -27.82783400
HST3D_18182              53.0885560 -27.82736500
HST3D_18189              53.1009130 -27.82750700
HST3D_18198              53.0725730 -27.82763800
HST3D_18208              53.0919150 -27.82724300
HST3D_18320              53.0622600 -27.82681200
HST3D_18340              53.0647120 -27.82689500
HST3D_18352              53.0560810 -27.82662800
HST3D_18422              53.0514660 -27.82648200
HST3D_18447              53.0832240 -27.82624500
HST3D_18477              53.0810660 -27.82606500
HST3D_18488              53.0585690 -27.82595600
HST3D_18559              53.0535470 -27.82579800
HST3D_18704              53.0817340 -27.82489000
HST3D_18826              53.0822990 -27.82423200
HST3D_18974              53.0840210 -27.82347700
HST3D_18978              53.0785150 -27.82351700
HST3D_19005              53.0959000 -27.82319700
HST3D_19092              53.0952280 -27.82271100
HST3D_19100              53.0898430 -27.82269600
HST3D_19130              53.0788970 -27.82249900
HST3D_19168              53.0516770 -27.82234100
HST3D_19178              53.0749380 -27.82231700
HST3D_19219              53.0754480 -27.82213300
HST3D_19357              53.0670470 -27.82172300
HST3D_19384              53.0809800 -27.82127100
HST3D_19429              53.0789840 -27.82108000
HST3D_19492              53.0623870 -27.82084800
HST3D_19639              53.0936340 -27.82034600
HST3D_19894              53.0691800 -27.81888500
HST3D_19908              53.0625530 -27.81892600
HST3D_414                53.1081060 -27.94018400
HST3D_432                53.1302800 -27.93974600
HST3D_451                53.1189450 -27.93939800
HST3D_565                53.1040340 -27.93715000
HST3D_586                53.1235080 -27.93673800
HST3D_625                53.1145640 -27.93594900
HST3D_633                53.1186940 -27.93578800
HST3D_704                53.1407590 -27.93426000
HST3D_780                53.1420320 -27.93291500
HST3D_784                53.1417590 -27.93281400
HST3D_846                53.1469290 -27.93138100
HST3D_875                53.1116330 -27.93093300
HST3D_982                53.1085560 -27.92959000
HST3D_1009               53.0947850 -27.92818600
HST3D_1024               53.1014980 -27.92884300
HST3D_1028               53.1063860 -27.92876900
HST3D_1043               53.0882400 -27.92845400
HST3D_1045               53.1488740 -27.92837800
HST3D_1050               53.1239500 -27.92835400
HST3D_1112               53.0894990 -27.92735300
HST3D_1113               53.1162880 -27.92747400
HST3D_1161               53.1541210 -27.92655400
HST3D_1172               53.1153120 -27.92630500
HST3D_1256               53.0913530 -27.92531000
HST3D_1294               53.1232060 -27.92465700
HST3D_1375               53.1523430 -27.92351500
